,year,departamento,S,V,I,I2,total_animales,v,A
209,2017.0,META,255178.51428571428,140645.2857142857,1626261.585,24.815,2022110.2,92.59616703860819,395823.8
210,2018.0,META,223288.7142857143,140645.2857142857,1584617.0148,1.9852,1948553.0,92.59616703860819,363934.0
211,2021.0,META,357167.0,95408.0,1714101.9916,133.0084,2166810.0,98.68738169368102,453844.0
212,2019.0,META,261444.7142857143,140645.2857142857,1643199.5108666667,694.4891333333334,2045984.0,92.59616703860819,402090.0
213,2022.0,META,349439.7142857143,140645.2857142857,1798277.5108666667,694.4891333333334,2289057.0,92.59616703860819,490085.0
214,2011.0,NARINO,49119.399999999994,39832.0,317323.54980000004,1763.8502,408038.8,98.96149068322981,88951.4
215,2012.0,NARINO,46735.399999999994,42216.0,317475.41760000004,1611.9824,408038.8,95.19686104721958,88951.4
216,2013.0,NARINO,45564.399999999994,43387.0,317808.93120000005,1278.4688,408038.8,96.10588104995016,88951.4
217,2014.0,NARINO,45381.399999999994,43570.0,317777.168,1310.232,408038.8,96.20437633862527,88951.4
218,2015.0,NARINO,40962.399999999994,47989.0,318303.24600000004,784.154,408038.8,96.4719363139273,88951.4
219,2016.0,NARINO,47239.0,34694.0,302481.0276,271.9724,384686.0,98.34457735699303,82517.0
220,2020.0,NARINO,50117.54285714285,38833.857142857145,319054.6442,32.7558,408038.8,97.17353769657367,88951.4
221,2021.0,NARINO,70311.0,20149.0,331544.2974,844.7026000000001,422849.0,98.9296410860706,90678.0
222,2018.0,NARINO,46227.142857142855,38833.857142857145,308825.735225,987.2647750000001,394874.0,97.17353769657367,85061.0
223,2019.0,NARINO,52139.142857142855,38833.857142857145,315182.735225,987.2647750000001,407143.0,97.17353769657367,90973.0
224,2022.0,NARINO,56694.142857142855,38833.857142857145,334126.735225,987.2647750000001,430642.0,97.17353769657367,95528.0
225,2011.0,NORTE DE SANTANDER,53740.399999999994,40006.0,364007.8284,164.7716,457919.0,99.26308215269334,93746.4
226,2012.0,NORTE DE SANTANDER,56985.399999999994,36761.0,363604.8328,567.7672,457919.0,93.21922150374033,93746.4
227,2013.0,NORTE DE SANTANDER,56535.399999999994,37211.0,364010.8062,161.7938,457919.0,92.92992358024075,93746.4
228,2014.0,NORTE DE SANTANDER,52711.399999999994,41035.0,364072.34739999997,100.2526,457919.0,94.87422546934246,93746.4
229,2015.0,NORTE DE SANTANDER,53332.399999999994,40414.0,364130.91079999995,41.6892,457919.0,96.05913671800722,93746.4
230,2016.0,NORTE DE SANTANDER,41980.0,38528.0,309103.6142,82.3858,389694.0,97.13349300390773,81645.0
231,2021.0,NORTE DE SANTANDER,80152.0,17618.0,376716.0296,3.9704,474490.0,96.97269925143108,98320.0
232,2018.0,NORTE DE SANTANDER,52620.0,35939.0,379062.6242,160.3758,467782.0,95.77882595419472,88559.0
233,2019.0,NORTE DE SANTANDER,61273.0,35939.0,384860.6242,160.3758,482233.0,95.77882595419472,97212.0
234,2022.0,NORTE DE SANTANDER,67057.0,35939.0,372239.6242,160.3758,475396.0,95.77882595419472,102996.0
235,2011.0,PUTUMAYO,38853.4,18503.0,216021.0134,189.5866,273567.0,96.98097384558939,57356.4
236,2012.0,PUTUMAYO,38859.4,18497.0,216076.59900000002,134.001,273567.0,87.55561866893875,57356.4
237,2013.0,PUTUMAYO,40169.4,17187.0,216124.2438,86.3562,273567.0,95.99530831099196,57356.4
